Team,PlayedGames,Won,Drawn,Lost,GoalsFor,GoalsAgainst,GoalDifference,Points,Year
Manchester City FC,38,28,7,3,96,34,62,91,2023
Arsenal FC,38,28,5,5,91,29,62,89,2023
Liverpool FC,38,24,10,4,86,41,45,82,2023
Aston Villa FC,38,20,8,10,76,61,15,68,2023
Tottenham Hotspur FC,38,20,6,12,74,61,13,66,2023
Chelsea FC,38,18,9,11,77,63,14,63,2023
Newcastle United FC,38,18,6,14,85,62,23,60,2023
Manchester United FC,38,18,6,14,57,58,-1,60,2023
West Ham United FC,38,14,10,14,60,74,-14,52,2023
Crystal Palace FC,38,13,10,15,57,58,-1,49,2023
Brighton & Hove Albion FC,38,12,12,14,55,62,-7,48,2023
Everton FC,38,13,9,16,40,51,-11,48,2023
AFC Bournemouth,38,13,9,16,54,67,-13,48,2023
Fulham FC,38,13,8,17,55,61,-6,47,2023
Wolverhampton Wanderers FC,38,13,7,18,50,65,-15,46,2023
Brentford FC,38,10,9,19,56,65,-9,39,2023
Nottingham Forest FC,38,9,9,20,49,67,-18,36,2023
Luton Town FC,38,6,8,24,52,85,-33,26,2023
Burnley FC,38,5,9,24,41,78,-37,24,2023
Sheffield United FC,38,3,7,28,35,104,-69,16,2023
